wkt_geom,Station,Name,lat,lon,Elevation,Basin_Area
Point (28.4421999999999997 39.06689999999999685),D05A065,GEÇTİN D. DOGANPINAR,39.0669,28.4422,787,59
Point (29.29779999999999873 38.81669999999999732),D05A064,DİKEN D. SARIBURUN,38.8167,29.2978,638,153
Point (28.3796999999999997 39.01279999999999859),D05A065,GEÇTİN D. DOĞANPINAR,39.0128,28.3797,787,59
Point (28.05529999999999902 38.78000000000000114),D05A086,KAÇAK SU GÖRDES BARAJI,38.78,28.0553,2,2
Point (27.92940000000000111 38.28529999999999944),D06A011,RAHMANLAR Ç. BEBEKLER,38.2853,27.9294,220,37
Point (27.70919999999999916 38.42889999999999873),D05A082,TEKKEDERE HAMZABABA,38.4289,27.7092,259,13.04
Point (27.73359999999999914 38.41779999999999973),D05A083,ÇATALDERE ÇATALKÖPRÜ,38.4178,27.7336,214,57.5
Point (26.45970000000000155 38.65670000000000073),D06A017,UZUNDERE BOZKÖY,38.6567,26.4597,18,21
Point (27.30330000000000013 37.73029999999999973),D06A018,ARAPASTAN DERESİ DAVUTLAR,37.7303,27.3033,78,11
Point (27.92810000000000059 38.28829999999999956),D06A011,RAHMANLAR Ç. BEBEKLER,38.2883,27.9281,220,37
Point (27.74249999999999972 38.22970000000000113),D06A013,FALAKA Ç. FALAKA,38.2297,27.7425,130,82
Point (27.45029999999999859 38.39470000000000027),D05A076,SAVANDA ÇAYI SUPERİSİ,38.3947,27.4503,208,26
Point (27.67000000000000171 38.41080000000000183),D05A078,SİNANCILAR DERESİ GÖLCÜK,38.4108,27.67,250,15
Point (27.52639999999999887 38.72279999999999944),D05A073,BAHADIRÇAYI BAHADIRLI,38.7228,27.5264,110,58
Point (28.8796999999999997 38.591700000000003),D05A075,ÇİNGENE DERESİ ALANYURT,38.5917,28.8797,465,34
Point (27.60610000000000142 38.94720000000000226),D05A081,KOVALI DERE SÜLEYMANKÖY,38.9472,27.6061,193,60.23
Point (27.70889999999999986 38.42470000000000141),D05A082,TEKKEDERE HAMZABABA,38.4247,27.7089,259,13
Point (29.01470000000000127 38.71139999999999759),D05A079,KUNDUZ D YENİKÖY,38.7114,29.0147,675,85.81
Point (28.04919999999999902 38.74860000000000326),D05A080,GÖRDES ÇAYI TAŞKUYUCAK,38.7486,28.0492,186,2
Point (28.53330000000000055 38.18330000000000268),D05A036,DERBENT Ç. ULUDERBENT,38.1833,28.5333,420,119
Point (27.94249999999999901 38.49329999999999785),D05A039,AHMETLİ Ç. DEREKÖY,38.4933,27.9425,125,95
Point (28.36670000000000158 39.04999999999999716),D05A035,INDERESİ GÜNESLİ,39.05,28.3667,598,88
Point (28.36670000000000158 39.05469999999999686),D05A035,INDERESİ GÜNESLİ,39.0547,28.3667,598,88
Point (28.00499999999999901 39.12420000000000186),D05A043,CEMAL D. KAYGANLI,39.1242,28.005,290,64
Point (28.00529999999999831 39.125),D05A043,CEMAL D. KAYGANLI,39.125,28.0053,290,64
Point (27.94249999999999901 38.49470000000000169),D05A039,AHMETLİ Ç. DEREKÖY,38.4947,27.9425,125,95
Point (29.44999999999999929 38.966700000000003),D05A042,MURAT Ç. GÜMELE,38.9667,29.45,740,241
Point (28.05030000000000001 38.46419999999999817),D05A021,TABAK D. ÇALTILI,38.4642,28.0503,137,81.1
Point (28.05389999999999873 38.46529999999999916),D05A021,TABAK D. ÇALTILI,38.4653,28.0539,137,81
Point (27.82779999999999987 38.95280000000000342),D05A015,MEDAR Ç. MEDAR KÖPRÜSÜ,38.9528,27.8278,106,512.3
Point (27.29830000000000112 38.49470000000000169),D05A018,NİF Ç. ÇİCEKLİ,38.4947,27.2983,276,40
Point (28.19669999999999987 38.77139999999999986),D05A028,GÖRDES Ç. HACIHIDIR,38.7714,28.1967,305,808
Point (28.18919999999999959 38.51030000000000086),D05A031,ALAŞEHİR Ç. TAYTAN KÖPRÜSÜ,38.5103,28.1892,91,2513
Point (27.39859999999999829 38.76530000000000342),D05A026,SARMA Ç. SARMA,38.7653,27.3986,117,52
Point (27.39939999999999998 38.76939999999999742),D05A026,SARMA Ç. SARMA,38.7694,27.3994,117,52
Point (28.20749999999999957 38.42190000000000083),D05A052,KARANOHUT D. KARANOHUT.,38.4219,28.2075,587,15
Point (28.4781000000000013 38.35060000000000002),D05A053,ZEYTİNÇAY OSMANİYE,38.3506,28.4781,273,31
Point (29.02359999999999829 38.75829999999999842),D05A050,AYAN D. ÇAMURKÖY,38.7583,29.0236,740,59
Point (28.20360000000000156 38.42060000000000031),D05A052,KARANOHUT D. KARANOHUT.,38.4206,28.2036,587,15
Point (28.32440000000000069 38.37890000000000157),D05A056,KAVAKLIDERE DEREKÖY,38.3789,28.3244,260,98
Point (28.60389999999999944 38.66890000000000072),D05A060,GEDİZ N. HAMİDİYE KÖP.,38.6689,28.6039,290,4074.7
Point (27.90170000000000172 38.94969999999999999),D05A054,DELİCEDERE ÇAMÖNÜ,38.9497,27.9017,172,38
Point (27.84779999999999944 38.45720000000000027),D05A055,GÜRLEVİK D. AKÇAPINAR,38.4572,27.8478,155,43
Point (27.96669999999999945 39.06669999999999732),D05A044,DEMİRBÜKEN D. BASLAMIS,39.0667,27.9667,205,148
Point (29.46940000000000026 38.92969999999999686),D05A046,CONBULAT D. GÜMELE,38.9297,29.4694,790,74
Point (27.96420000000000172 39.06080000000000041),D05A044,DEMİRBÜKEN D. BAŞLAMIŞ,39.0608,27.9642,205,148
Point (27.96610000000000085 39.06280000000000285),D05A044,DEMİRBÜKEN D. BASLAMIS,39.0628,27.9661,205,148
Point (28.05330000000000013 38.80689999999999884),D05A049,KAYACIK D. ÇAGLAYAN,38.8069,28.0533,220,299
Point (29.01670000000000016 38.75),D05A050,AYAN D. ÇAMURKÖY,38.75,29.0167,740,59
Point (28.24439999999999884 38.42889999999999873),D05A048,DEGİRMENDERE DOGANLAR,38.4289,28.2444,200,41
Point (27.98750000000000071 38.76610000000000156),D05A049,KAYACIK D. ÇAĞLAYAN,38.7661,27.9875,172,350
Point (27.13889999999999958 39.3125),D04A050,HASANDERE ÇAMAVLU,39.3125,27.1389,476,22
Point (27.47670000000000101 39.11919999999999931),D04A051,CUMALI D. CUMALI,39.1192,27.4767,115,84
Point (27.15220000000000056 39.57719999999999771),D04A047,İNÖNÜ ÇAYI INÖNÜ,39.5772,27.1522,65,73
Point (27.15749999999999886 39.58780000000000143),D04A047,İNÖNÜ Ç. İNÖNÜ,39.5878,27.1575,78,69.56
Point (27.17060000000000031 39.51780000000000115),D04A052,KIŞLA DERESİ DEREOBASI,39.5178,27.1706,208,54.7
