wkt_geom,Station,Name,lat,lon,Elevation,Basin_Area
Point (33.55030000000000001 38.95219999999999771),1614-K,PEÇENEKÖZÜ DERESİ - Ş. KOÇHİSAR (KANAL),38.9522,33.5503,1175,651.6
Point (34.18330000000000268 37.41669999999999874),16140,İVRİZ ÇAYI-İVRİZ BRJ.GİRİŞ(AYDINK,37.4167,34.1833,1161,33.5
Point (34.79999999999999716 37.966700000000003),16148,ÖREN DERESİ-GÜMÜŞLER,37.9667,34.8,1500,44.6
Point (31.89999999999999858 38.23329999999999984),16149,BOLASAN DERİVASYON KAN.-SARAYCIK,38.2333,31.9,509,1000
Point (34.16669999999999874 37.45000000000000284),16144,İVRİZ BRJ.-ÇIKŞ (SOL ANA KAN),37.45,34.1667,1115,1000
Point (34.16669999999999874 37.466700000000003),16145,İVRİZ BRJ.-ÇIKIŞ (SAĞ ANA KAN),37.4667,34.1667,1127,1000
Point (32.95000000000000284 38.20000000000000284),16136,ELDEŞ DERSİ-ELDEŞ,38.2,32.95,1080,32.4
Point (31.93329999999999913 38.216700000000003),16137,BULCUK DERESİ-BULCUK,38.2167,31.9333,1080,87.7
Point (31.53330000000000055 37.36670000000000158),16134,KOCADERE-DEREBUÇAK,37.3667,31.5333,1250,73
Point (32.033299999999997 38.18330000000000268),16135,TEKKE DERESİ-MAHMUTHİSAR,38.1833,32.0333,1090,66.4
Point (33.55030000000000001 38.95219999999999771),1614,PEÇENEKÖZÜ D. - KOÇHİSAR,38.9522,33.5503,1175,651.6
Point (33.55310000000000059 38.95389999999999731),1614,PEÇENEKÖZÜ D. - KOÇHİSAR,38.9539,33.5531,940,651.6
Point (31.5 37.43330000000000268),16138,SEKİ DERESİ-DEREBUCAK,37.4333,31.5,1225,38
Point (32.283299999999997 37.88329999999999842),16139,FINDIKLI D.-ALTINAPA BRJ.GİRİŞ,37.8833,32.2833,1256,84.8
Point (32.033299999999997 38.29999999999999716),16-92,KALE REGÜLATÖRÜ GİRİŞİ-ZAFERİYE K,38.3,32.0333,1015,1696.1
Point (34.783299999999997 38),16-94,GÜMÜŞLER BARAJ-GİRİŞİ,38,34.7833,1376,57.3
Point (39.66669999999999874 38.033299999999997),16-89,UZANDI DERESİ KIRKPINAR KÖPRÜSÜ,38.0333,39.6667,1474,21.3
Point (34.66190000000000282 38.03499999999999659),16-89,UZANDI DERESİ KIRKPINAR KÖPRÜSÜ,38.035,34.6619,1474,21.3
Point (34.26670000000000016 38.29999999999999716),16-98,MELENDİZ ÇAYI-SELİME,38.3,34.2667,1129,511.1
Point (34.04809999999999803 38.38080000000000069),1601,MELENDİZ 1 - KALANLAR,38.3808,34.0481,995,1621.6
Point (32.54999999999999716 37.36670000000000158),16-95,APA BARAJI-ÇIKIŞI,37.3667,32.55,1026,6795
Point (32.54999999999999716 37.36670000000000158),16-96,APA BARAJI-ALKARAN SULAMA KANALI,37.3667,32.55,1027,0
Point (32.31669999999999732 37.88329999999999842),16-72,ALTINAPA BARAJI-ÇIKIŞI,37.8833,32.3167,1223,566.2
Point (34.75 38),16-77,GÜMÜŞLER BARAJI-ÇIKIŞI,38,34.75,1330,69.2
Point (34.01059999999999661 38.00079999999999814),16-66,GEBERE BRJ.-CIKISI,38.0008,34.0106,1696,17.4
Point (34.01219999999999999 38.0005999999999986),16-69,ÖZTEPE DERESİ-AKTAŞÖZÜ,38.0006,34.0122,1300,98.65
Point (31.88329999999999842 38.283299999999997),16-81,ÇİĞİL DERESİ-DERİVASYON KANALI,38.2833,31.8833,1031,622.1
Point (33.75 37.29999999999999716),16-87,AYRANCI BARAJ-GİRİŞİ,37.3,33.75,1202,1137.1
Point (31.43329999999999913 37.86670000000000158),16-78,SUBERTE ÇAYI -TAŞAGIL,37.8667,31.4333,1095,111.8
Point (34.26670000000000016 37.38329999999999842),16-80,KARASU-DEMİRCİ,37.3833,34.2667,1118,497.38
Point (35.36059999999999803 38.09859999999999758),1608-K,YAHYALI SUYU - YAHYALI (HES KANALI),38.0986,35.3606,1140,142
Point (32.28889999999999816 37.89170000000000016),1610,MERAM ÇAYI - DEĞİRMENKÖY,37.8917,32.2889,1225,588.8
Point (34.1244000000000014 38.40220000000000056),1605,MELENDİZ IRMAĞI - GÜCÜNKAYA,38.4022,34.1244,1085,1536.4
Point (35.36059999999999803 38.09859999999999758),1608,YAHYALI SUYU - YAHYALI,38.0986,35.3606,1140,142
Point (31.98329999999999984 38.283299999999997),16109,ÇAVUŞÇU GÖL-ÇIKIŞ,38.2833,31.9833,1030,1000
Point (32.20940000000000225 37.17329999999999757),1611,ÇARŞAMBA SUYU - BOZKIR,37.1733,32.2094,1255,205.6
Point (32.26670000000000016 37.91669999999999874),16100,MERAM ÇAYI-KEÇİMUHSİNE,37.9167,32.2667,1261,401.7
Point (31.83330000000000126 37.58330000000000126),16101,ÇAVUŞ DERESİ-BÜYÜKHOMA <AŞAĞIESEN,37.5833,31.8333,1111,376.8
Point (32.30499999999999972 37.88309999999999889),1603,MERAM ÇAYI - ALTINAPA(DEĞİRMENKÖY),37.8831,32.305,1225,588.8
Point (31.72419999999999973 37.68169999999999931),1604,BEYŞEHİR REGÜLATÖR ÇIKIŞI - BEYŞEHİR,37.6817,31.7242,1122,3095.2
Point (33.75580000000000069 37.30579999999999785),1602,AYRANCI SUYU - AYRANCI,37.3058,33.7558,1125,1040
Point (33.75580000000000069 37.3061000000000007),1602,AYRANCI SUYU - AYRANCI,37.3061,33.7558,1196,1369.6
Point (31.7453000000000003 37.68330000000000268),1604,BEYŞEHİR GÖLÜ REGÜLATÖR ÇIKIŞI - BEYŞEHİR,37.6833,31.7453,1120,3095.2
Point (31.7453000000000003 37.68359999999999843),1604,BEYŞEHİR REGÜLATÖR ÇIKIŞI - BEYŞEHİR,37.6836,31.7453,1120,3095.2
Point (31.73329999999999984 37.68249999999999744),1604,BEYŞEHİR GÖLÜ REGÜLATÖR ÇIKIŞI - BEYŞEHİR,37.6825,31.7333,1120,3095.2
Point (31.7433000000000014 37.68330000000000268),1604,BEYŞEHİR REGÜLATÖR ÇIKIŞI - BEYŞEHİR,37.6833,31.7433,1117,3095.2
Point (38.85000000000000142 40.81669999999999732),22-87,GELEVERA D.-HASANŞEYH,40.8167,38.85,355,256.8
Point (39.52109999999999701 40.79749999999999943),22-88,MAÇKA D.-ORMANÜSTÜ,40.7975,39.5211,710,150
Point (38.8522000000000034 40.78750000000000142),22-87,GELEVERA D.-HASANŞIH,40.7875,38.8522,370,256.8
Point (38.852800000000002 40.78889999999999816),22-87,GELEVERA D.-HASANŞIH,40.7889,38.8528,370,256.8
Point (41.363900000000001 41.26440000000000197),22-89,BALLI DERE-KÜÇÜKKÖY,41.2644,41.3639,310,66.4
Point (41.26939999999999742 41.36939999999999884),22-89,BALLI DERE-KÜÇÜKKÖY,41.3694,41.2694,310,66.4
Point (39.51670000000000016 40.79999999999999716),22-88,MAÇKA D.- ORMANÜSTÜ,40.8,39.5167,770,150
Point (41.35000000000000142 41.25),22-89,BALLI D.-KÜÇÜKKÖY,41.25,41.35,400,66.37
Point (39.47469999999999857 40.55749999999999744),22-84,KORUM D.-YAĞLIDERE,40.5575,39.4747,1450,149.6
Point (40.783299999999997 40.966700000000003),22-85,Şenöz D.- KaptanpaŞa,40.9667,40.7833,400,231.2
Point (39.5 40.54719999999999658),22-84,KORUM D.-YAĞLIDERE,40.5472,39.5,1450,149.6
Point (39.466700000000003 40.54999999999999716),22-84,Korum D.- Yağlıdere,40.55,39.4667,1375,149.6
Point (39.68330000000000268 40.863900000000001),22-86,DEĞİRMENDERE-ÖĞÜTLÜ,40.8639,39.6833,160,728.4
Point (40.783299999999997 40.966700000000003),22-86,Değirmen D.- Öğütlü,40.9667,40.7833,400,728.39
Point (40.79500000000000171 40.96779999999999688),22-85,ŞENÖZ DERESİ-KAPTANPAŞA,40.9678,40.795,480,231.2
Point (40.79579999999999984 40.96940000000000026),22-85,ŞENÖZ DERESİ-KAPTANPAŞA,40.9694,40.7958,480,231.2
Point (39.36670000000000158 40.79999999999999716),22-97,MAÇKA D.MELİK,40.8,39.3667,600,168.6
Point (39.54169999999999874 40.79999999999999716),22-97,MAÇKA D.-MELİK,40.8,39.5417,600,168.8
Point (40.45000000000000284 39.783299999999997),22-95,YAYLA D.-SÖĞÜTAĞI,39.7833,40.45,1500,110
Point (40.68059999999999832 40.76939999999999742),22-96,CİMİL D.-KÖKNAR,40.7694,40.6806,1280,155.8
Point (40.00889999999999702 40.85170000000000101),2202,KARA DERE - DEĞİRMENCİK KÖYÜ(AĞNAS),40.8517,40.0089,350,608.8
Point (40.00750000000000028 40.8522000000000034),2202,KARA DERE - DEĞİRMENCİK KÖYÜ(AĞNAS),40.8522,40.0075,78,635.7
Point (39.13280000000000314 40.67470000000000141),2201,HARŞİT Ç. - KÜRTÜN,40.6747,39.1328,490,2753.2
Point (40.00690000000000168 40.84940000000000282),2202,KARA DERE - DEĞİRMENCİK KÖYÜ(AĞNAS),40.8494,40.0069,78,635.7
Point (38.40559999999999974 40.65279999999999916),22-90,AKSU D.-ALANCIK,40.6528,38.4056,700,470.2
Point (37.45000000000000284 40.88329999999999842),22-91,BOLAMAN ÇAYI-ÇATALPINAR,40.8833,37.45,110,784
Point (38.39999999999999858 40.63329999999999842),22-90,AKSU D.-ALANCIK,40.6333,38.4,750,470.16
Point (38.40500000000000114 40.64970000000000283),22-90,AKSU D.-ALANCIK,40.6497,38.405,700,470.2
Point (41.06110000000000326 40.988900000000001),22-94,HALA D.-AYDER,40.9889,41.0611,773,239.15
Point (40.99719999999999942 41.05830000000000268),22-94,HALA DERESİ-AYDER,41.0583,40.9972,600,142.6
Point (37.466700000000003 40.76670000000000016),22-92,REŞADİYE ÇAYI-KABATAŞ,40.7667,37.4667,380,302.5
Point (37.966700000000003 40.85000000000000142),22-93,TURNASUYU-CUMHURİYET KÖYÜ,40.85,37.9667,375,210
Point (40.33330000000000126 40.81669999999999732),22-68,BALTACI DERESİ-YENİKÖY,40.8167,40.3333,470,171.6
Point (38.35000000000000142 40.56669999999999732),22-71,AKSU D. - İKİSU,40.5667,38.35,1050,295.7
Point (40.81669999999999732 40.35000000000000142),22-68,Baltacı D.-Yeniköy,40.35,40.8167,500,174.6
Point (40.36469999999999914 40.81609999999999872),22-68,BALTACI DERESİ-YENİKÖY,40.8161,40.3647,470,171.6
Point (41.16669999999999874 41.20830000000000126),22-72,ARILI DERESİ-ARILI,41.2083,41.1667,150,92.2
Point (41.17219999999999658 41.22189999999999799),22-72,ARILI DERESİ-ARILI,41.2219,41.1722,150,92.2
Point (38.35640000000000072 40.58389999999999986),22-71,AKSU D. -İKİSU,40.5839,38.3564,990,292.7
Point (41.18330000000000268 41.20000000000000284),22-72,Arılı D.-Arılı,41.2,41.1833,175,92.15
Point (41.02000000000000313 41.04140000000000299),22-63,HALA DERESİ-MİKRONKÖPRÜ,41.0414,41.02,370,239.2
Point (41.029200000000003 41.04579999999999984),22-63,HALA DERESİ-MİKRONKÖPRÜ,41.0458,41.0292,370,239.2
Point (41.00809999999999889 41.03470000000000084),22-62,HEMŞİN DERESİ-KONAKLAR,41.0347,41.0081,300,496.7
Point (41.01670000000000016 41.033299999999997),22-63,Hala D.- Mikronköprü,41.0333,41.0167,325,239.15
Point (40.783299999999997 40.841700000000003),22-66,MAKİ DERESİ-CEVİZLİK,40.8417,40.7833,400,115.9
Point (37.79999999999999716 40.83330000000000126),22-67,SAP DERESİ-DURAKKÖYÜ,40.8333,37.8,115,332
Point (38.12780000000000058 40.74419999999999931),22-64,PAZARSUYU-KOVANLIK,40.7442,38.1278,530,377.5
Point (40.40220000000000056 40.83919999999999817),22-66,MAKİ DERESİ-CEVİZLİK,40.8392,40.4022,400,115.9
Point (38.60829999999999984 40.67499999999999716),22-80,YAĞLIDERE-SINIRKÖY,40.675,38.6083,650,296.9
Point (40.533299999999997 40.91669999999999874),22-82,Salarha D.- Kömürcüler,40.9167,40.5333,290,83.32
Point (38.60000000000000142 40.64999999999999858),22-80,YağlıD.- Sınırköy,40.65,38.6,750,296.9
Point (38.60810000000000031 40.67329999999999757),22-80,YAĞLIDERE-SINIRKÖY,40.6733,38.6081,650,296.9
Point (39.35000000000000142 40.35000000000000142),22-83,Kodil Ç.- GümüŞkaya,40.35,39.35,1150,410.78
Point (39.3703000000000003 40.46470000000000056),22-83,KODİL ÇAYI-GÜMÜŞKAYA,40.4647,39.3703,1110,410.8
Point (40.54579999999999984 40.93889999999999674),22-82,SALARHA DERESİ-KÖMÜRCÜLER,40.9389,40.5458,250,83.3
Point (40.5444000000000031 40.94440000000000168),22-82,SALARHA DERESİ-KÖMÜRCÜLER,40.9444,40.5444,250,83.3
Point (38.66669999999999874 40.76670000000000016),22-73,Yağlı D.-Tuğlacık,40.7667,38.6667,400,397.85
Point (40.93330000000000268 40.86670000000000158),22-74,Hemşin D.-Çat,40.8667,40.9333,1100,277.61
Point (38.63810000000000144 40.75670000000000215),22-73,YAĞLIDERE-TUĞLACIK,40.7567,38.6381,400,397.9
Point (39.63889999999999958 40.75829999999999842),22-73,YAĞLIDERE-TUĞLACIK,40.7583,39.6389,400,397.9
Point (40.60000000000000142 40.68330000000000268),22-78,Tozköy D.-Tozköy,40.6833,40.6,1000,284.34
Point (41.38329999999999842 41.26670000000000016),22-79,-ÇAMLICA KAPİSTRE DERESİ,41.2667,41.3833,,
Point (40.92690000000000339 40.86889999999999645),22-74,HEMŞİN D.-ÇAT,40.8689,40.9269,1250,277.6
Point (41.07500000000000284 41.12469999999999715),22-76,DURAK DERESİ-KEMERKÖPRÜ,41.1247,41.075,230,302
Point (39.89999999999999858 40.6875),22-44,KARADERE-AYTAŞ,40.6875,39.9,510,421.2
Point (41.30830000000000268 41.32500000000000284),22-49,KAPİSTRE DERESİ-BAŞKÖY,41.325,41.3083,60,186.2
Point (38.86970000000000169 40.85079999999999956),22-40,HARŞİT ÇAYI-EYMÜR,40.8508,38.8697,120,3132.8
Point (39.88329999999999842 40.68330000000000268),22-44,Kara D.-AytaŞ,40.6833,39.8833,500,421.22
Point (40.26389999999999958 40.76610000000000156),22-52,SOLAKLI DERESİ-ULUCAMİ,40.7661,40.2639,260,576.8
Point (40.25560000000000116 40.76670000000000016),22-52,SOLAKLI DERESİ-ULUCAMİ,40.7667,40.2556,260,576.8
Point (41.29999999999999716 41.33330000000000126),22-49,Kapistre D.- BaŞköy,41.3333,41.3,75,257.1
Point (40.25 40.75),22-52,Solaklı D.- Ulucami,40.75,40.25,275,576.76
Point (39.91499999999999915 40.7944000000000031),22-13,KAVRAZ D.-  SÜTTAŞI,40.7944,39.915,470,124.85
Point (39.966700000000003 40.88329999999999842),22-34,Yanbolu D.-Fındıklı,40.8833,39.9667,100,258.6
Point (38.89999999999999858 40.783299999999997),22-13,Kavraz D.-SüttaŞı,40.7833,38.9,188,124.85
Point (38.86469999999999914 40.79249999999999687),22-13,KAVRAZ D.-SÜTTAŞI,40.7925,38.8647,470,124.85
Point (38.86670000000000158 40.85000000000000142),22-40,HarŞit Ç.-Eymür,40.85,38.8667,120,3132.8
Point (38.875 40.85000000000000142),22-40,HARŞİT ÇAYI-EYMÜR,40.85,38.875,120,3132.8
Point (39.98610000000000042 40.89170000000000016),22-34,YANBOLU DERESİ-FINDIKLI,40.8917,39.9861,90,258.6
Point (39.99060000000000059 40.89439999999999742),22-34,YANBOLU DERESİ-FINDIKLI,40.8944,39.9906,90,258.6
Point (39.69890000000000185 40.85000000000000142),22-59,GALYAN DERESİ-ÇİFTDERE,40.85,39.6989,250,121.5
Point (39.61670000000000158 40.783299999999997),22-61,Altın D.- Ortaköy,40.7833,39.6167,450,260.97
Point (39.70000000000000284 40.83330000000000126),22-59,Galyan D.- Çiftdere,40.8333,39.7,250,121.48
Point (39.698599999999999 40.85000000000000142),22-59,GALYAN DERESİ-ÇİFTDERE,40.85,39.6986,250,121.5
Point (41 41.033299999999997),22-62,HemŞin D.- Konaklar,41.0333,41,300,496.7
Point (41.00829999999999842 41.033299999999997),22-62,HEMŞİN DERESİ-KONAKLAR,41.0333,41.0083,300,496.7
Point (39.61670000000000158 40.79719999999999658),22-61,ALTINDERE-ORTAKÖY,40.7972,39.6167,380,261
Point (39.61560000000000059 40.79749999999999943),22-61,ALTINDERE-ORTAKÖY,40.7975,39.6156,380,261
Point (38.00079999999999814 40.95830000000000126),22-56,TURNA SUYU-TURNAKÖY MEMBA,40.9583,38.0008,12,274
Point (40.20000000000000284 40.66669999999999874),22-57,Ögene D.- Alçakköprü,40.6667,40.2,650,242.64
Point (40.11670000000000158 40.85000000000000142),22-53,-ORTAKÖY SÜRMENE DERESİ,40.85,40.1167,,
Point (37.87310000000000088 40.78499999999999659),22-55,MELET ÇAYI-YEŞİLYURT,40.785,37.8731,196,1453
Point (39.16080000000000183 40.886099999999999),22-58,GÖRELE D.-CÜCENKÖPRÜ,40.8861,39.1608,240,162.7
Point (39.01250000000000284 40.88750000000000284),22-58,GÖRELE D.-CÜCENKÖPRÜ,40.8875,39.0125,240,162.71
Point (40.21249999999999858 40.67079999999999984),22-57,ÖGENE DERESİ-ALÇAKKÖPRÜ,40.6708,40.2125,700,242.6
Point (39.033299999999997 40.86670000000000158),22-58,GÖRELE D.- CÜCEN KÖP.,40.8667,39.0333,300,162.67
Point (27.03440000000000154 40.19639999999999702),209,YAKACIK DERESİ - GÜRÇEŞME,40.1964,27.0344,48,267.6
Point (27.54939999999999856 40.04359999999999786),210,Gönen Çayı - KUMKÖY,40.0436,27.5494,60,1192.8
Point (27.00809999999999889 40.19360000000000355),209,YAKACIK DERESİ - GÜRÇEŞME,40.1936,27.0081,48,267.6
Point (27.03419999999999845 40.19610000000000127),209,YAKACIK DERESİ - GÜRÇEŞME,40.1961,27.0342,48,267.6
Point (27.27250000000000085 40.30810000000000315),212,BİGA ÇAYI - ÇINARKÖPRÜ,40.3081,27.2725,8,2095.6
Point (27.27309999999999945 40.30919999999999703),212,BİGA ÇAYI - ÇINARKÖPRÜ,40.3092,27.2731,8,2095.6
Point (28.47030000000000172 41.15109999999999957),211,KARASU - ÇATALCA,41.1511,28.4703,70,257.6
Point (28.47250000000000014 41.15109999999999957),211,KARASU - ÇATALCA,41.1511,28.4725,10,257.6
Point (36.92029999999999745 38.42219999999999658),2025,HURMAN SUYU - GÖZLER ÜSTÜ,38.4222,36.9203,1222,914.7
Point (37.08639999999999759 37.58610000000000184),2026,PEYNİRDERESİ - PEYNİRDERE,37.5861,37.0864,760,25.6
Point (36.90780000000000172 38.57309999999999661),2024,HURMAN SUYU - KARAKUZ,38.5731,36.9078,1600,434
Point (36.92000000000000171 38.42190000000000083),2025,HURMAN SUYU - GÖZLER ÜSTÜ,38.4219,36.92,1222,914.7
Point (27.64720000000000155 40.11140000000000327),207,GÖNEN ÇAYI - GÖNEN,40.1114,27.6472,29,1451.2
Point (29.24609999999999843 40.42940000000000111),208,İZNİK GÖLAYAĞI - KARSAK KÖP.,40.4294,29.2461,65,1298.4
Point (36.46690000000000254 38.06860000000000355),2029,TÖRBÜZEK DERESİ - MEHMETBEY,38.0686,36.4669,1364,194
Point (27.64639999999999986 40.11140000000000327),207,GÖNEN ÇAYI - GÖNEN,40.1114,27.6464,20,1402
Point (40.283299999999997 40.61670000000000158),22-07,Haldizen S.-Şerah,40.6167,40.2833,1114,154.7
Point (40.2897000000000034 40.62169999999999703),22-07,HALDİZEN SUYU-ŞERAH,40.6217,40.2897,1170,154.7
Point (41.23329999999999984 41.25),22-06,Abuçaglayan D.-KöprübaŞı,41.25,41.2333,60,156
Point (41.23080000000000211 41.25719999999999743),22-06,ABUÇAĞLAYAN D.-KÖPRÜBAŞI,41.2572,41.2308,60,156
Point (39.29719999999999658 40.55830000000000268),22-09,HARŞİT ÇAYI-TORUL,40.5583,39.2972,925,2000.4
Point (39.29780000000000229 40.56110000000000326),22-09,HARŞİT ÇAYI-TORUL,40.5611,39.2978,925,1900.4
Point (40.28889999999999816 40.62219999999999942),22-07,HALDİZEN SUYU-ŞERAH,40.6222,40.2889,1170,154.7
Point (39.283299999999997 40),22-09,HarŞit Ç-Torul,40,39.2833,925,1900.4
Point (27.28109999999999857 40.2856000000000023),214,HOŞABA DERESİ - GÜMÜŞÇAY,40.2856,27.2811,15,380
Point (27.59059999999999846 40.16969999999999885),215,KEÇİ DERESİ - DEREKÖY,40.1697,27.5906,37,130
Point (29.32669999999999888 40.49080000000000013),213,OLUK DERESİ - ORHANGAZİ,40.4908,29.3267,100,74
Point (27.28170000000000073 40.28439999999999799),214,HOŞABA DERESİ - GÜMÜŞÇAY,40.2844,27.2817,15,380
Point (29.41890000000000072 40.36169999999999902),216,FINDICAK D. - BAYIRKÖY,40.3617,29.4189,290,68.8
Point (41.25829999999999842 41.23060000000000258),22-06,ABUÇAĞLAYAN D.-KÖPRÜBAŞI,41.2306,41.2583,60,156
Point (27.58999999999999986 40.17060000000000031),215,KEÇİ DERESİ - DEREKÖY,40.1706,27.59,30,130
Point (29.41829999999999856 40.36169999999999902),216,FINDICAK D. - BAYIRKÖY,40.3617,29.4183,290,68.8
Point (37.43970000000000198 37.63689999999999714),2011,AKSU - KÜÇÜKÖREN,37.6369,37.4397,840,658.8
Point (35.8119000000000014 37.03249999999999886),2012,CEYHAN N. - CEYHAN KÖP.,37.0325,35.8119,30,19778.8
Point (36.79390000000000072 37.57390000000000185),2010,AKSU NEHRİ - KÜRTLERAVŞARI,37.5739,36.7939,450,3413.2
Point (36.79390000000000072 37.57439999999999714),2010,AKSU NEHRİ - KÜRTLERAVŞARI,37.5744,36.7939,414,3498.8
Point (36.28580000000000183 37.34530000000000172),2013,CEYHAN N. - ÇERÇİOĞLU,37.3453,36.2858,180,13943.6
Point (36.91830000000000211 38.41969999999999885),2015,HURMAN SUYU - TANIR,38.4197,36.9183,1100,960
Point (35.81139999999999901 37.03280000000000172),2012,CEYHAN N. - CEYHAN KÖP.,37.0328,35.8114,18,19727.2
Point (36.29169999999999874 37.34360000000000213),2013,CEYHAN N. - ÇERÇİOĞLU,37.3436,36.2917,100,13840
Point (36.09389999999999787 37.37250000000000227),2008,SAVRUN DERESİ - KADİRLİ,37.3725,36.0939,75,444
Point (36.09309999999999974 37.37310000000000088),2008,SAVRUN DERESİ - KADİRLİ,37.3731,36.0931,75,444
Point (36.09420000000000073 37.37189999999999657),2008,SAVRUN DERESİ - KADİRLİ,37.3719,36.0942,75,444
Point (36.09309999999999974 37.37219999999999942),2008,SAVRUN DERESİ - KADİRLİ,37.3722,36.0931,75,444
Point (37.00110000000000099 38.14860000000000184),2009,GÖKSUN NEHRİ - POSKOFLU,38.1486,37.0011,1040,1387.2
Point (27.23110000000000142 40.28139999999999787),201,KOCABAŞ ÇAYI - GÜLEÇKÖY (BİGA),40.2814,27.2311,13,1643.2
Point (37 38.13470000000000226),2009,GÖKSUN NEHRİ - POSKOFLU,38.1347,37,1080,1401.6
Point (37.00110000000000099 38.14829999999999899),2009,GÖKSUN NEHRİ - POSKOFLU,38.1483,37.0011,1040,1387.2
Point (36.27669999999999817 37.26420000000000243),2020,CEYHAN NEHRİ - ASLANTAŞ,37.2642,36.2767,95,14708.4
Point (36.26059999999999661 37.30360000000000298),2020,CEYHAN NEHRİ - ASLANTAŞ,37.3036,36.2606,95,14708.4
Point (27.59280000000000044 40.05499999999999972),202,GÖNEN ÇAYI - BALCIKÖY,40.055,27.5928,47,1238.8
Point (36.27640000000000242 37.25829999999999842),2020,CEYHAN NEHRİ - ASLANTAŞ,37.2583,36.2764,90,14708.4
Point (37.5356000000000023 38.25780000000000314),2022,SÖĞÜTLÜ SUYU - HANKÖY,38.2578,37.5356,1349,428
Point (37.52389999999999759 38.25939999999999941),2022,SÖĞÜTLÜ SUYU - HANKÖY,38.2594,37.5239,1340,428
Point (37.19530000000000314 38.38190000000000168),2021,SARSAP DERESİ - GÜVERCİNLİK,38.3819,37.1953,1279,402
Point (37.53359999999999985 38.25560000000000116),2022,SÖĞÜTLÜ SUYU - HANKÖY,38.2556,37.5336,1349,428
Point (37.29419999999999646 38.23859999999999815),2016,SÖĞÜTLÜ SU - TÜRKVEREN,38.2386,37.2942,1100,678
Point (36.27389999999999759 37.3393999999999977),2017,KEŞİŞ SUYU - DARILIK,37.3394,36.2739,104,546.4
Point (36.92060000000000031 38.42249999999999943),2015,HURMAN SUYU - TANIR,38.4225,36.9206,1235,915.2
Point (37.29529999999999745 38.2383000000000024),2016,SÖĞÜTLÜ SU - TÜRKVEREN,38.2383,37.2953,1177,853
Point (36.29220000000000113 37.35060000000000002),2018,ANDIRIN SUYU - YILDIZKÖY,37.3506,36.2922,180,226.8
Point (37.11469999999999914 38.01310000000000144),2019,CEYHAN N. - KANDİL,38.0131,37.1147,1000,6256.4
Point (36.27060000000000173 37.34329999999999927),2017,KEŞİŞ SUYU - DARILIK,37.3433,36.2706,175,564.8
Point (36.28750000000000142 37.34890000000000043),2018,ANDIRIN SUYU - YILDIZKÖY,37.3489,36.2875,103,245.2
Point (35.65390000000000015 37.2657999999999987),20-65,ÇEPELCE D.-İMAMOĞLU,37.2658,35.6539,100,161
Point (37.61999999999999744 38.15970000000000084),20-66,Söyütlü Ç.-KARAHASANUŞAĞI,38.1597,37.62,1455,150
Point (36.283299999999997 37.66669999999999874),20-58,Tahta S.-CAMBAZKÖY,37.6667,36.2833,1000,24.38
Point (36.79999999999999716 37.47500000000000142),20-63,Orçan Ç.-JANDARMALAR OBASI,37.475,36.8,550,57.5
Point (35.70859999999999701 37.51389999999999958),20-71,KARAPINAR DERESİ KIZILLAR,37.5139,35.7086,235,50
Point (35.92280000000000229 37.48689999999999856),20-72,MELETMEZ DERESİ-ACARMANTAŞ,37.4869,35.9228,100,46
Point (37.68560000000000088 37.83809999999999718),20-68,Geben Baraji-Aks Yeri,37.8381,37.6856,1275,55
Point (36.72690000000000055 37.86280000000000001),20-69,Karapinar deresi Aks Yeri-ANDIRIN,37.8628,36.7269,1310,31.5
Point (36.716700000000003 38.06669999999999732),20-52,Fındık D.-FINDIK,38.0667,36.7167,1285,23
Point (36.68330000000000268 37.75),20-53,Fırnız Ç.-KABAKTEPE,37.75,36.6833,648,178.5
Point (36.90610000000000213 37.0180999999999969),20-47,Aksu Ç.-H.MUSTAFA ÇİFTLİĞİ,37.0181,36.9061,455,2787.3
Point (37.16669999999999874 38.01939999999999742),20-51,Nergele Ç.-TOPAL YUSUFLAR,38.0194,37.1667,1110,131.5
Point (37.033299999999997 37.23329999999999984),20-56,Bertiz Ç-HİMMETLİ,37.2333,37.0333,750,238.4
Point (36.783299999999997 37.86670000000000158),20-57,Çemrengeç S-KOSÇAĞIZ,37.8667,36.7833,925,224.3
Point (36.68330000000000268 37.79999999999999716),20-54,Tekir S.-ALİKESEN,37.8,36.6833,702,207.5
Point (36.83330000000000126 37.86670000000000158),20-55,Zeytin D-SÜLEYMANLI,37.8667,36.8333,850,111.6
Point (37.05420000000000158 38.19189999999999685),2005,CEYHAN NEHRİ - AKÇİL (KABAAĞAÇ),38.1919,37.0542,1114,4202
Point (36.56280000000000285 38.02389999999999759),2006,GÖKSUN NEHRİ - KARAAHMET,38.0239,36.5628,1230,739.6
Point (37.02640000000000242 38.17280000000000229),2005,CEYHAN NEHRİ - AKÇİL (KABAAĞAÇ),38.1728,37.0264,1115,4219.6
Point (37.02579999999999671 38.17560000000000286),2005,CEYHAN NEHRİ - AKÇİL (KABAAĞAÇ),38.1756,37.0258,1100,4315.6
Point (35.91749999999999687 37.34000000000000341),2007,SONBOZ ÇAYI - ÇUKURKÖPRÜ,37.34,35.9175,40,538.8
Point (35.91749999999999687 37.34140000000000015),2007,SONBOZ ÇAYI - ÇUKURKÖPRÜ,37.3414,35.9175,35,623
